description,chance-success
"health:0.90
strength:.45
dexterity:.61
perception:.52
intelligence:.67
charisma:.94
stamina:.76
<DM>The landscape before you is desolate and barren, with little cover from the harsh sun. You need to traverse a vast desert with limited water.</DM>
<Player>I use my intelligence to find an optimal path that conserves energy and water, relying on my perception to identify potential resources.</Player>",0.82
"health:0.50
strength:.15
dexterity:.55
perception:.81
intelligence:.92
charisma:.22
stamina:.58
<DM>You enter a room filled with intricate traps designed to deter thieves. The walls are lined with hidden pressure plates and laser sensors.</DM>
<Player>I carefully examine the room using my perception and intelligence to identify safe routes.</Player>",0.9
"health:1.00
strength:.30
dexterity:.10
perception:.52
intelligence:.76
charisma:.40
stamina:.25
<DM>You're in a room filled with riddles, each more perplexing than the last. You need to solve these riddles to escape.</DM>
<Player>I rely on my intelligence to solve the riddles and escape.</Player>",0.95
"health:0.85
strength:.62
dexterity:.34
perception:.74
intelligence:.47
charisma:.35
stamina:.50
<DM>You are standing at the edge of a treacherous cliff with a rope bridge stretching across it. The wind is strong, and the bridge looks unstable.</DM>
<Player>I attempt to cross the bridge, relying on my strength to maintain my balance.</Player>",0.55
"health:0.92
strength:.30
dexterity:.91
perception:.67
intelligence:.50
charisma:.71
stamina:.62
<DM>You need to traverse a series of floating platforms, each one smaller than the last. The platforms are moving quickly in the air, and you must jump from one to the next.</DM>
<Player>I rely on my dexterity and jump from platform to platform, timing it carefully.</Player>",0.92
"health:0.76
strength:.84
dexterity:.43
perception:.65
intelligence:.24
charisma:.90
stamina:.71
<DM>A group of hostile creatures is blocking your path. They're armed and look ready to attack. There's no way around them.</DM>
<Player>I try to talk to them and convince them to let me pass peacefully.</Player>",0.77
"health:0.50
strength:.13
dexterity:.71
perception:.93
intelligence:.58
charisma:.41
stamina:.34
<DM>You walk into a dark cave. There are multiple paths, but you sense something ominous in the air. The walls are lined with ancient carvings that might hold clues to a safe path.</DM>
<Player>I use my perception to closely examine the carvings for any meaningful symbols or clues.</Player>",0.9
"health:0.60
strength:.13
dexterity:.71
perception:.49
intelligence:.28
charisma:.79
stamina:.61
<DM>You are trapped in a room with a complex puzzle lock on the door. There are multiple gears and mechanisms that need to be aligned correctly.</DM>
<Player>I attempt to solve the puzzle by analyzing the gears, using my intelligence to understand the mechanism.</Player>",0.45
"health:0.88
strength:.12
dexterity:.23
perception:.93
intelligence:.78
charisma:.85
stamina:.40
<DM>You enter a large chamber with a giant stone door, locked and surrounded by intricate engravings. You can tell it requires solving a riddle to open it.</DM>
<Player>I solve the riddle, using my intelligence to find the answer.</Player>",0.91
"health:1.00
strength:.99
dexterity:.11
perception:.68
intelligence:.45
charisma:.52
stamina:.75
<DM>You face a massive boulder blocking your path. The boulder is far too large for you to move using agility alone.</DM>
<Player>I use my strength to try and push the boulder out of the way.</Player>",0.93
"health:0.77
strength:.10
dexterity:.53
perception:.69
intelligence:.71
charisma:.46
stamina:.34
<DM>You find yourself in a large forest at night. There is a large tree with strange markings on its trunk that seems significant.</DM>
<Player>I examine the markings on the tree closely, using my intelligence to figure out their meaning.</Player>",0.62
"health:1.00
strength:.41
dexterity:.21
perception:.72
intelligence:.88
charisma:.54
stamina:.61
<DM>You come across an enormous locked chest with a complex lock. It looks like it would take significant effort to open it without the right key.</DM>
<Player>I examine the lock carefully, looking for clues about the key.</Player>",0.85
"health: 0.91
strength: 0.45
dexterity: 0.57
perception: 0.68
intelligence: 0.82
charisma: 0.69
stamina: 0.53
<DM>You enter a large, dimly lit library. Rows of ancient books line the walls, and the air smells of old paper and leather. A staircase leads up to a second floor, and a faint noise can be heard coming from upstairs.</DM>
<Player>I cautiously walk up the stairs to investigate the source of the noise.</Player>",0.85
"health: 0.22
strength: 0.85
dexterity: 0.40
perception: 0.50
intelligence: 0.60
charisma: 0.30
stamina: 0.75
<DM>You are wounded and exhausted, standing before a raging river. The only way forward is to swim across.</DM>
<Player>I attempt to swim across using my strength and stamina.</Player>",0.45
"health: 0.90
strength: 0.35
dexterity: 0.78
perception: 0.65
intelligence: 0.80
charisma: 0.50
stamina: 0.40
<DM>A trapdoor is hidden beneath an old rug. You suspect there’s a mechanism to open it.</DM>
<Player>I carefully search the area for a hidden switch.</Player>",0.9
"health: 0.68
strength: 0.90
dexterity: 0.40
perception: 0.30
intelligence: 0.45
charisma: 0.55
stamina: 0.80
<DM>A large boulder blocks the cave entrance. You have no tools, just your bare hands.</DM>
<Player>I try to push the boulder out of the way.</Player>",0.6
"health: 0.95
strength: 0.50
dexterity: 0.85
perception: 0.60
intelligence: 0.40
charisma: 0.30
stamina: 0.70
<DM>A narrow ledge is the only path forward, with a steep drop on either side.</DM>
<Player>I carefully walk across, focusing on my balance.</Player>",0.85
"health: 0.80
strength: 0.50
dexterity: 0.65
perception: 0.88
intelligence: 0.70
charisma: 0.45
stamina: 0.55
<DM>Faint whispers echo through the dark corridor. Something feels off.</DM>
<Player>I listen carefully to determine where the sounds are coming from.</Player>",0.95
"health: 0.70
strength: 0.55
dexterity: 0.60
perception: 0.50
intelligence: 0.92
charisma: 0.40
stamina: 0.60
<DM>A rusted old machine stands in your way, covered in strange symbols.</DM>
<Player>I examine the symbols and try to decipher their meaning.</Player>",0.9
"health: 0.88
strength: 0.45
dexterity: 0.50
perception: 0.55
intelligence: 0.70
charisma: 0.90
stamina: 0.40
<DM>A hostile-looking guard stops you, demanding to know why you are here.</DM>
<Player>I try to talk my way past him with a convincing story.</Player>",0.85
"health: 0.60
strength: 0.50
dexterity: 0.40
perception: 0.70
intelligence: 0.80
charisma: 0.45
stamina: 0.30
<DM>You find a dusty old book filled with archaic writing.</DM>
<Player>I attempt to read and understand the text.</Player>",0.88
"health: 0.50
strength: 0.40
dexterity: 0.75
perception: 0.90
intelligence: 0.55
charisma: 0.60
stamina: 0.65
<DM>A hidden trapdoor creaks open slightly when you step on a tile.</DM>
<Player>I quickly jump back before it fully opens.</Player>",0.93
"health: 0.80
strength: 0.50
dexterity: 0.55
perception: 0.40
intelligence: 0.35
charisma: 0.85
stamina: 0.50
<DM>A group of travelers look hesitant to share their fire with you.</DM>
<Player>I charm them into letting me stay.</Player>",0.87
"health: 0.30
strength: 0.85
dexterity: 0.40
perception: 0.50
intelligence: 0.45
charisma: 0.50
stamina: 0.60
<DM>You are badly injured, and a storm is coming. You spot a distant shelter.</DM>
<Player>I force myself forward, pushing through the pain.</Player>",0.35
"health: 0.75
strength: 0.30
dexterity: 0.85
perception: 0.60
intelligence: 0.65
charisma: 0.50
stamina: 0.40
<DM>You must climb a crumbling tower to escape.</DM>
<Player>I carefully climb, avoiding weak spots.</Player>",0.8
"health: 0.95
strength: 0.40
dexterity: 0.55
perception: 0.60
intelligence: 0.88
charisma: 0.35
stamina: 0.50
<DM>A puzzle lock stands between you and the treasure.</DM>
<Player>I study the lock and try to solve it.</Player>",0.92
"health: 0.85
strength: 0.45
dexterity: 0.65
perception: 0.55
intelligence: 0.50
charisma: 0.40
stamina: 0.90
<DM>You must sprint across a collapsing bridge.</DM>
<Player>I run as fast as I can.</Player>",0.85
"health: 0.50
strength: 0.60
dexterity: 0.40
perception: 0.70
intelligence: 0.55
charisma: 0.30
stamina: 0.40
<DM>You sense someone watching you from the shadows.</DM>
<Player>I look around carefully to spot them.</Player>",0.88
"health: 0.90
strength: 0.70
dexterity: 0.45
perception: 0.60
intelligence: 0.50
charisma: 0.65
stamina: 0.55
<DM>A large gate blocks your path.</DM>
<Player>I attempt to force it open.</Player>",0.7
"health: 0.65
strength: 0.50
dexterity: 0.40
perception: 0.85
intelligence: 0.70
charisma: 0.45
stamina: 0.35
<DM>You spot an unfamiliar symbol on the wall.</DM>
<Player>I try to recall what it means.</Player>",0.9
"health: 0.30
strength: 0.40
dexterity: 0.50
perception: 0.45
intelligence: 0.35
charisma: 0.70
stamina: 0.55
<DM>Bandits demand payment to let you pass.</DM>
<Player>I attempt to talk my way out of trouble.</Player>",0.65
"health: 0.12
strength: 0.78
dexterity: 0.39
perception: 0.65
intelligence: 0.49
charisma: 0.33
stamina: 0.92
<DM>The only way across the chasm is a vine hanging from a tree.</DM>
<Player>I grip the vine tightly and swing across.</Player>",0.65
"health: 0.94
strength: 0.20
dexterity: 0.88
perception: 0.45
intelligence: 0.67
charisma: 0.50
stamina: 0.34
<DM>A tightrope spans the rooftops, your only way forward.</DM>
<Player>I carefully walk across, keeping my balance.</Player>",0.75
"health: 0.48
strength: 0.60
dexterity: 0.71
perception: 0.37
intelligence: 0.80
charisma: 0.42
stamina: 0.29
<DM>A door has a complex mechanical lock.</DM>
<Player>I attempt to pick the lock.</Player>",0.82
"health: 0.86
strength: 0.25
dexterity: 0.57
perception: 0.92
intelligence: 0.33
charisma: 0.76
stamina: 0.47
<DM>A nobleman is furious over a spilled drink.</DM>
<Player>I try to smooth things over with charm.</Player>",0.85
"health: 0.51
strength: 0.89
dexterity: 0.40
perception: 0.72
intelligence: 0.46
charisma: 0.31
stamina: 0.69
<DM>A stone slab is blocking the passage.</DM>
<Player>I try to push it aside with brute force.</Player>",0.77
"health: 0.73
strength: 0.50
dexterity: 0.29
perception: 0.64
intelligence: 0.59
charisma: 0.90
stamina: 0.22
<DM>A band of mercenaries questions your presence.</DM>
<Player>I try to bluff my way past them.</Player>",0.8
"health: 0.34
strength: 0.94
dexterity: 0.45
perception: 0.61
intelligence: 0.41
charisma: 0.39
stamina: 0.83
<DM>A heavy portcullis is jammed shut.</DM>
<Player>I attempt to lift it.</Player>",0.66
"health: 0.92
strength: 0.31
dexterity: 0.79
perception: 0.47
intelligence: 0.84
charisma: 0.55
stamina: 0.26
<DM>A strange riddle is carved into the temple wall.</DM>
<Player>I try to decipher its meaning.</Player>",0.88
"health: 0.40
strength: 0.55
dexterity: 0.69
perception: 0.81
intelligence: 0.48
charisma: 0.32
stamina: 0.77
<DM>A group of hunters is stalking something in the forest.</DM>
<Player>I stay quiet and track them from a distance.</Player>",0.79
"health: 0.60
strength: 0.41
dexterity: 0.32
perception: 0.95
intelligence: 0.73
charisma: 0.46
stamina: 0.39
<DM>A small, intricate puzzle sits in your hands.</DM>
<Player>I carefully examine it and try to solve it.</Player>",0.9
"health: 0.58
strength: 0.88
dexterity: 0.42
perception: 0.61
intelligence: 0.35
charisma: 0.44
stamina: 0.80
<DM>A heavy log blocks the road.</DM>
<Player>I try to lift and move it aside.</Player>",0.78
"health: 0.72
strength: 0.27
dexterity: 0.85
perception: 0.57
intelligence: 0.60
charisma: 0.37
stamina: 0.69
<DM>A thief is attempting to pickpocket you.</DM>
<Player>I react quickly to grab their wrist.</Player>",0.75
"health: 0.90
strength: 0.60
dexterity: 0.34
perception: 0.50
intelligence: 0.84
charisma: 0.40
stamina: 0.28
<DM>A cryptic scroll might hold the answer to your quest.</DM>
<Player>I analyze the symbols and attempt to understand them.</Player>",0.91
"health: 0.31
strength: 0.70
dexterity: 0.43
perception: 0.52
intelligence: 0.47
charisma: 0.88
stamina: 0.59
<DM>A royal guard questions your presence.</DM>
<Player>I attempt to convince him that I belong here.</Player>",0.73
"health: 0.55
strength: 0.50
dexterity: 0.67
perception: 0.42
intelligence: 0.61
charisma: 0.33
stamina: 0.82
<DM>A deep river stands between you and safety.</DM>
<Player>I dive in and swim across.</Player>",0.77
"health: 0.67
strength: 0.92
dexterity: 0.30
perception: 0.38
intelligence: 0.50
charisma: 0.60
stamina: 0.48
<DM>A door is stuck in its frame.</DM>
<Player>I force it open with brute strength.</Player>",0.82
"health: 0.79
strength: 0.42
dexterity: 0.91
perception: 0.53
intelligence: 0.75
charisma: 0.28
stamina: 0.31
<DM>A merchant offers you a strange deal.</DM>
<Player>I analyze his offer and decide if it's fair.</Player>",0.74
"health: 0.45
strength: 0.53
dexterity: 0.49
perception: 0.87
intelligence: 0.33
charisma: 0.40
stamina: 0.90
<DM>You hear rustling in the bushes.</DM>
<Player>I remain still and wait to see what emerges.</Player>",0.83
"health: 0.85
strength: 0.39
dexterity: 0.72
perception: 0.64
intelligence: 0.58
charisma: 0.44
stamina: 0.36
<DM>A narrow cliffside path is your only option.</DM>
<Player>I proceed carefully, making sure of my footing.</Player>",0.81
"health: 0.91
strength: 0.78
dexterity: 0.45
perception: 0.53
intelligence: 0.39
charisma: 0.67
stamina: 0.70
<DM>A fallen tree blocks your path.</DM>
<Player>I try to climb over it.</Player>",0.75
"health: 0.48
strength: 0.30
dexterity: 0.85
perception: 0.72
intelligence: 0.54
charisma: 0.40
stamina: 0.49
<DM>A guard patrols the hallway.</DM>
<Player>I sneak past him.</Player>",0.8
"health: 0.72
strength: 0.67
dexterity: 0.31
perception: 0.90
intelligence: 0.50
charisma: 0.41
stamina: 0.52
<DM>A wild animal eyes you cautiously.</DM>
<Player>I try to remain still and non-threatening.</Player>",0.82
"health: 0.60
strength: 0.47
dexterity: 0.90
perception: 0.55
intelligence: 0.38
charisma: 0.71
stamina: 0.35
<DM>A narrow bridge sways in the wind.</DM>
<Player>I cross it carefully.</Player>",0.78
"health: 0.88
strength: 0.40
dexterity: 0.61
perception: 0.85
intelligence: 0.57
charisma: 0.44
stamina: 0.27
<DM>You spot a hidden trap on the floor.</DM>
<Player>I try to disarm it.</Player>",0.86
"health: 0.52
strength: 0.59
dexterity: 0.45
perception: 0.39
intelligence: 0.81
charisma: 0.66
stamina: 0.73
<DM>A scholar asks you to solve a difficult riddle.</DM>
<Player>I think carefully and answer.</Player>",0.88
"health: 0.70
strength: 0.84
dexterity: 0.38
perception: 0.66
intelligence: 0.47
charisma: 0.54
stamina: 0.79
<DM>A cave entrance is blocked by a boulder.</DM>
<Player>I try to push it aside.</Player>",0.83
"health: 0.43
strength: 0.36
dexterity: 0.77
perception: 0.68
intelligence: 0.62
charisma: 0.39
stamina: 0.60
<DM>A rope bridge is missing some planks.</DM>
<Player>I jump across the gaps.</Player>",0.74
"health: 0.86
strength: 0.53
dexterity: 0.67
perception: 0.80
intelligence: 0.44
charisma: 0.51
stamina: 0.32
<DM>A thief runs past you with stolen goods.</DM>
<Player>I chase him down.</Player>",0.7
"health: 0.55
strength: 0.74
dexterity: 0.41
perception: 0.56
intelligence: 0.33
charisma: 0.80
stamina: 0.61
<DM>A crowd gathers around a heated argument.</DM>
<Player>I step in and try to calm things down.</Player>",0.85
"health: 0.79
strength: 0.41
dexterity: 0.88
perception: 0.45
intelligence: 0.90
charisma: 0.35
stamina: 0.50
<DM>A book contains cryptic symbols.</DM>
<Player>I try to decipher its meaning.</Player>",0.92
"health: 0.68
strength: 0.50
dexterity: 0.76
perception: 0.59
intelligence: 0.55
charisma: 0.43
stamina: 0.30
<DM>A rope is tied in a complex knot.</DM>
<Player>I attempt to untie it.</Player>",0.78
"health: 0.92
strength: 0.55
dexterity: 0.35
perception: 0.80
intelligence: 0.61
charisma: 0.38
stamina: 0.41
<DM>You hear distant voices in an unknown language.</DM>
<Player>I try to understand what they're saying.</Player>",0.87
"health: 0.40
strength: 0.82
dexterity: 0.30
perception: 0.72
intelligence: 0.44
charisma: 0.63
stamina: 0.58
<DM>A ladder is slightly too high to reach.</DM>
<Player>I jump and grab onto it.</Player>",0.7
"health: 0.66
strength: 0.31
dexterity: 0.92
perception: 0.45
intelligence: 0.77
charisma: 0.52
stamina: 0.25
<DM>A complex puzzle box sits before you.</DM>
<Player>I attempt to solve it.</Player>",0.9
"health: 0.59
strength: 0.46
dexterity: 0.67
perception: 0.79
intelligence: 0.55
charisma: 0.40
stamina: 0.69
<DM>A scout notices something odd in the distance.</DM>
<Player>I use my keen eyes to examine it.</Player>",0.86
"health: 0.75
strength: 0.60
dexterity: 0.41
perception: 0.85
intelligence: 0.66
charisma: 0.49
stamina: 0.29
<DM>A map has hidden markings.</DM>
<Player>I carefully study them.</Player>",0.91
"health: 0.37
strength: 0.49
dexterity: 0.58
perception: 0.44
intelligence: 0.81
charisma: 0.39
stamina: 0.70
<DM>An ancient tome is missing a key passage.</DM>
<Player>I try to deduce what it should say.</Player>",0.89
"health: 0.80
strength: 0.57
dexterity: 0.77
perception: 0.62
intelligence: 0.48
charisma: 0.45
stamina: 0.33
<DM>A trapdoor is barely visible beneath some rubble.</DM>
<Player>I carefully lift the rubble aside.</Player>",0.72
"health: 0.63
strength: 0.78
dexterity: 0.35
perception: 0.47
intelligence: 0.55
charisma: 0.66
stamina: 0.80
<DM>A heavy door is stuck in its frame.</DM>
<Player>I force it open.</Player>",0.85
"health: 0.42
strength: 0.56
dexterity: 0.82
perception: 0.38
intelligence: 0.49
charisma: 0.53
stamina: 0.62
<DM>A merchant is selling something suspiciously cheap.</DM>
<Player>I inspect it closely.</Player>",0.7
"health: 0.75
strength: 0.69
dexterity: 0.52
perception: 0.88
intelligence: 0.44
charisma: 0.39
stamina: 0.41
<DM>You hear whispers behind a closed door.</DM>
<Player>I try to eavesdrop.</Player>",0.89
"health: 0.57
strength: 0.33
dexterity: 0.90
perception: 0.54
intelligence: 0.78
charisma: 0.41
stamina: 0.34
<DM>A candle flickers, casting strange shadows.</DM>
<Player>I investigate the source.</Player>",0.81
"health: 0.91
strength: 0.60
dexterity: 0.74
perception: 0.53
intelligence: 0.45
charisma: 0.38
stamina: 0.77
<DM>You need to climb a rope quickly.</DM>
<Player>I grab on and pull myself up.</Player>",0.83
"health: 0.40
strength: 0.49
dexterity: 0.69
perception: 0.85
intelligence: 0.31
charisma: 0.72
stamina: 0.36
<DM>A noble looks skeptical of your story.</DM>
<Player>I convince them I’m telling the truth.</Player>",0.86
"health: 0.66
strength: 0.73
dexterity: 0.31
perception: 0.59
intelligence: 0.77
charisma: 0.48
stamina: 0.50
<DM>A mechanical device is jammed.</DM>
<Player>I try to repair it.</Player>",0.8
"health: 0.53
strength: 0.77
dexterity: 0.42
perception: 0.36
intelligence: 0.50
charisma: 0.85
stamina: 0.69
<DM>You need to rally a group of people for help.</DM>
<Player>I give an inspiring speech.</Player>",0.88
"health: 0.80
strength: 0.34
dexterity: 0.56
perception: 0.63
intelligence: 0.79
charisma: 0.44
stamina: 0.40
<DM>A scholar asks for an opinion on a theory.</DM>
<Player>I discuss the topic with them.</Player>",0.91
"health: 0.72
strength: 0.49
dexterity: 0.88
perception: 0.42
intelligence: 0.68
charisma: 0.30
stamina: 0.77
<DM>A swarm of insects blocks the path.</DM>
<Player>I dodge through quickly.</Player>",0.83
"health: 0.45
strength: 0.85
dexterity: 0.53
perception: 0.62
intelligence: 0.41
charisma: 0.67
stamina: 0.31
<DM>A rival challenges you to a wrestling match.</DM>
<Player>I accept and grapple them.</Player>",0.76
"health: 0.61
strength: 0.30
dexterity: 0.79
perception: 0.91
intelligence: 0.52
charisma: 0.55
stamina: 0.42
<DM>A shimmering portal appears before you.</DM>
<Player>I study it before stepping in.</Player>",0.89
"health: 0.95
strength: 0.67
dexterity: 0.44
perception: 0.48
intelligence: 0.60
charisma: 0.33
stamina: 0.74
<DM>A long race awaits you.</DM>
<Player>I pace myself and keep running.</Player>",0.87
"health: 0.50
strength: 0.40
dexterity: 0.75
perception: 0.72
intelligence: 0.31
charisma: 0.66
stamina: 0.38
<DM>A slippery rooftop provides a shortcut.</DM>
<Player>I run across it.</Player>",0.79
"health: 0.81
strength: 0.71
dexterity: 0.36
perception: 0.39
intelligence: 0.90
charisma: 0.42
stamina: 0.58
<DM>A chess master offers a challenge.</DM>
<Player>I take them on.</Player>",0.92
"health: 0.64
strength: 0.45
dexterity: 0.80
perception: 0.35
intelligence: 0.55
charisma: 0.69
stamina: 0.50
<DM>A cat is stuck on a high branch.</DM>
<Player>I carefully climb up and rescue it.</Player>",0.81
"health: 0.92
strength: 0.55
dexterity: 0.29
perception: 0.66
intelligence: 0.74
charisma: 0.33
stamina: 0.41
<DM>An ancient inscription is partially destroyed.</DM>
<Player>I try to reconstruct its meaning.</Player>",0.89
"health: 0.34
strength: 0.88
dexterity: 0.62
perception: 0.51
intelligence: 0.48
charisma: 0.77
stamina: 0.69
<DM>A hostile crowd starts to form.</DM>
<Player>I calm them with reason.</Player>",0.87
"health: 0.59
strength: 0.37
dexterity: 0.74
perception: 0.86
intelligence: 0.43
charisma: 0.54
stamina: 0.61
<DM>A merchant offers a rare gem.</DM>
<Player>I inspect it for authenticity.</Player>",0.86
"health: 0.79
strength: 0.51
dexterity: 0.44
perception: 0.65
intelligence: 0.73
charisma: 0.35
stamina: 0.50
<DM>A cryptic puzzle guards a treasure.</DM>
<Player>I try to solve it.</Player>",0.91
"health: 0.68
strength: 0.72
dexterity: 0.41
perception: 0.79
intelligence: 0.55
charisma: 0.60
stamina: 0.52
<DM>A shadow moves in the alley ahead.</DM>
<Player>I try to spot who or what it is.</Player>",0.85
"health: 0.43
strength: 0.55
dexterity: 0.78
perception: 0.33
intelligence: 0.67
charisma: 0.45
stamina: 0.61
<DM>A rickety bridge stands between you and safety.</DM>
<Player>I cross carefully.</Player>",0.82
"health: 0.89
strength: 0.64
dexterity: 0.48
perception: 0.38
intelligence: 0.73
charisma: 0.50
stamina: 0.77
<DM>A stranger challenges you to a game of riddles.</DM>
<Player>I accept and try my best.</Player>",0.88
"health: 0.51
strength: 0.42
dexterity: 0.85
perception: 0.77
intelligence: 0.41
charisma: 0.66
stamina: 0.58
<DM>A suspicious person follows you through town.</DM>
<Player>I try to lose them in the crowd.</Player>",0.83
"health: 0.74
strength: 0.81
dexterity: 0.36
perception: 0.69
intelligence: 0.46
charisma: 0.31
stamina: 0.88
<DM>A large boulder blocks the path.</DM>
<Player>I push it aside.</Player>",0.84
"health: 0.56
strength: 0.30
dexterity: 0.92
perception: 0.55
intelligence: 0.79
charisma: 0.43
stamina: 0.39
<DM>A locked chest sits in front of you.</DM>
<Player>I attempt to pick the lock.</Player>",0.86
"health: 0.62
strength: 0.74
dexterity: 0.39
perception: 0.72
intelligence: 0.54
charisma: 0.68
stamina: 0.41
<DM>A noble looks unimpressed with your presence.</DM>
<Player>I attempt to charm them.</Player>",0.89
"health: 0.85
strength: 0.57
dexterity: 0.63
perception: 0.47
intelligence: 0.80
charisma: 0.34
stamina: 0.62
<DM>A map holds cryptic markings.</DM>
<Player>I try to decipher it.</Player>",0.91
"health: 0.48
strength: 0.35
dexterity: 0.87
perception: 0.69
intelligence: 0.42
charisma: 0.72
stamina: 0.55
<DM>A group of travelers debate a route.</DM>
<Player>I suggest the best path.</Player>",0.82
"health: 0.71
strength: 0.49
dexterity: 0.60
perception: 0.79
intelligence: 0.58
charisma: 0.31
stamina: 0.67
<DM>A strange noise comes from a dark cave.</DM>
<Player>I try to listen closely.</Player>",0.87
"health: 0.53
strength: 0.86
dexterity: 0.44
perception: 0.52
intelligence: 0.37
charisma: 0.75
stamina: 0.69
<DM>A festival-goer challenges you to a drinking contest.</DM>
<Player>I accept and keep pace.</Player>",0.85
"health: 0.91
strength: 0.39
dexterity: 0.67
perception: 0.50
intelligence: 0.78
charisma: 0.33
stamina: 0.62
<DM>An old book holds forgotten knowledge.</DM>
<Player>I study it carefully.</Player>",0.9
"health: 0.40
strength: 0.78
dexterity: 0.30
perception: 0.66
intelligence: 0.53
charisma: 0.69
stamina: 0.55
<DM>A duel of words begins in a public forum.</DM>
<Player>I defend my stance confidently.</Player>",0.87
"health: 0.63
strength: 0.69
dexterity: 0.41
perception: 0.82
intelligence: 0.44
charisma: 0.72
stamina: 0.49
<DM>A royal banquet is underway.</DM>
<Player>I navigate social circles smoothly.</Player>",0.88
"health: 0.77
strength: 0.58
dexterity: 0.49
perception: 0.43
intelligence: 0.80
charisma: 0.36
stamina: 0.69
<DM>A wizard asks you a mathematical question.</DM>
<Player>I calculate the answer quickly.</Player>",0.92
"health: 0.54
strength: 0.70
dexterity: 0.38
perception: 0.55
intelligence: 0.62
charisma: 0.44
stamina: 0.77
<DM>A deep river blocks your path.</DM>
<Player>I swim across.</Player>",0.84
"health: 0.82
strength: 0.63
dexterity: 0.51
perception: 0.60
intelligence: 0.37
charisma: 0.80
stamina: 0.45
<DM>A heated argument erupts in a marketplace.</DM>
<Player>I mediate the conflict.</Player>",0.87
"health: 0.75
strength: 0.55
dexterity: 0.74
perception: 0.48
intelligence: 0.69
charisma: 0.39
stamina: 0.61
<DM>A door is locked from the inside.</DM>
<Player>I attempt to break it down.</Player>",0.83
"health: 0.59
strength: 0.42
dexterity: 0.92
perception: 0.40
intelligence: 0.57
charisma: 0.78
stamina: 0.35
<DM>A noblewoman looks displeased with your company.</DM>
<Player>I try to win her favor.</Player>",0.89
"health: 0.66
strength: 0.88
dexterity: 0.36
perception: 0.79
intelligence: 0.45
charisma: 0.60
stamina: 0.42
<DM>A guard is barring your way.</DM>
<Player>I try to talk my way past them.</Player>",0.85
"health: 0.32
strength: 0.28
dexterity: 0.40
perception: 0.71
intelligence: 0.54
charisma: 0.49
stamina: 0.35
<DM>You must climb a steep rock wall to escape.</DM>
<Player>I attempt to climb up.</Player>",0.21
"health: 0.45
strength: 0.39
dexterity: 0.32
perception: 0.60
intelligence: 0.51
charisma: 0.29
stamina: 0.42
<DM>A noble challenges you to an etiquette duel.</DM>
<Player>I try to impress them.</Player>",0.18
"health: 0.59
strength: 0.50
dexterity: 0.20
perception: 0.55
intelligence: 0.43
charisma: 0.67
stamina: 0.33
<DM>A guard drops their keys in front of you.</DM>
<Player>I try to quickly snatch them without being noticed.</Player>",0.19
"health: 0.48
strength: 0.35
dexterity: 0.39
perception: 0.72
intelligence: 0.28
charisma: 0.50
stamina: 0.44
<DM>A scholar asks you to solve a complex puzzle.</DM>
<Player>I try to figure it out.</Player>",0.22
"health: 0.37
strength: 0.31
dexterity: 0.29
perception: 0.46
intelligence: 0.35
charisma: 0.72
stamina: 0.30
<DM>A thief tries to pick your pocket.</DM>
<Player>I try to notice and stop them.</Player>",0.2
"health: 0.50
strength: 0.47
dexterity: 0.52
perception: 0.30
intelligence: 0.55
charisma: 0.62
stamina: 0.41
<DM>You hear a faint whisper behind a locked door.</DM>
<Player>I try to make out what’s being said.</Player>",0.17
"health: 0.65
strength: 0.42
dexterity: 0.49
perception: 0.40
intelligence: 0.72
charisma: 0.33
stamina: 0.28
<DM>You must outrun a pack of wolves.</DM>
<Player>I sprint as fast as I can.</Player>",0.23
"health: 0.53
strength: 0.38
dexterity: 0.20
perception: 0.66
intelligence: 0.47
charisma: 0.31
stamina: 0.37
<DM>A rope bridge is swaying violently in the wind.</DM>
<Player>I carefully cross it.</Player>",0.21
"health: 0.44
strength: 0.35
dexterity: 0.26
perception: 0.68
intelligence: 0.59
charisma: 0.50
stamina: 0.29
<DM>You are caught in a powerful river current.</DM>
<Player>I swim to shore.</Player>",0.2
"health: 0.72
strength: 0.30
dexterity: 0.45
perception: 0.34
intelligence: 0.51
charisma: 0.66
stamina: 0.27
<DM>A merchant haggles aggressively with you.</DM>
<Player>I negotiate for a better deal.</Player>",0.19
"health: 0.33
strength: 0.72
dexterity: 0.29
perception: 0.41
intelligence: 0.38
charisma: 0.30
stamina: 0.53
<DM>A heavy door is locked before you.</DM>
<Player>I try to force it open.</Player>",0.22
"health: 0.47
strength: 0.39
dexterity: 0.20
perception: 0.57
intelligence: 0.32
charisma: 0.48
stamina: 0.40
<DM>You attempt to juggle knives to impress a crowd.</DM>
<Player>I give it a shot.</Player>",0.18
"health: 0.51
strength: 0.30
dexterity: 0.42
perception: 0.29
intelligence: 0.68
charisma: 0.46
stamina: 0.27
<DM>You must track an animal through the forest.</DM>
<Player>I examine the tracks closely.</Player>",0.19
"health: 0.40
strength: 0.34
dexterity: 0.36
perception: 0.61
intelligence: 0.25
charisma: 0.42
stamina: 0.38
<DM>A mysterious inscription glows on an ancient ruin.</DM>
<Player>I try to decipher it.</Player>",0.16
"health: 0.55
strength: 0.38
dexterity: 0.39
perception: 0.29
intelligence: 0.50
charisma: 0.71
stamina: 0.32
<DM>You attempt to sneak past a sleeping guard.</DM>
<Player>I move quietly.</Player>",0.2
